timestamp,calib_sys,calib_gyro,calib_accel,calib_mag,euler_h,euler_r,euler_p,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,status
22940,0,3,0,0,176.62,1.62,-12.75,0.24,-9.50,0.45,0.31,0.00,0.43,-10.06,98.06,-16.00,OK
23154,0,3,0,0,176.62,1.62,-12.75,0.31,-9.45,0.46,0.43,0.06,0.43,-9.37,98.87,-16.00,OK
23367,0,3,0,0,176.62,1.62,-12.75,0.26,-9.46,0.44,0.06,0.06,0.43,-9.68,100.68,-16.00,OK
23582,0,3,0,0,176.62,1.62,-12.75,0.30,-9.46,0.47,0.31,0.00,0.43,-10.06,98.50,-15.68,OK
23795,0,3,0,0,176.62,1.62,-12.75,0.28,-9.50,0.43,0.12,0.00,0.00,-7.50,98.50,-15.68,OK
24008,0,3,0,0,176.62,1.62,-12.75,0.29,-9.49,0.45,0.06,0.00,0.00,-4.18,98.50,-15.68,OK
24221,0,3,0,0,176.62,1.62,-12.75,0.28,-9.46,0.42,0.12,0.00,0.00,-10.50,98.06,-15.25,OK
24436,0,3,0,0,176.62,1.62,-12.75,0.30,-9.47,0.46,0.06,0.06,0.00,-3.87,105.50,-15.25,OK
24650,0,3,0,0,176.62,1.62,-12.75,0.29,-9.49,0.45,0.06,0.00,0.00,-8.56,102.18,-15.25,OK
24863,0,3,0,0,176.62,1.62,-12.75,0.28,-9.47,0.46,0.06,0.12,0.00,-10.50,99.25,-13.68,OK
25076,0,3,0,0,176.62,1.62,-12.75,0.29,-9.48,0.45,0.06,0.06,0.00,-4.87,99.25,-13.68,OK
25289,0,3,0,0,176.62,1.62,-12.75,0.28,-9.48,0.45,0.25,0.06,0.12,-4.18,99.25,-13.68,OK
25504,0,3,0,0,176.62,1.62,-12.75,0.31,-9.49,0.45,0.06,0.25,0.00,-4.50,99.25,-13.68,OK
25718,0,3,0,0,176.62,1.62,-12.75,0.30,-9.50,0.43,0.06,0.06,0.00,-6.75,99.25,-13.68,OK
25931,0,3,0,0,176.62,1.62,-12.75,0.30,-9.51,0.44,0.00,0.06,0.00,-10.87,98.87,-13.68,OK
26144,0,3,0,0,176.62,1.62,-12.75,0.31,-9.48,0.45,0.00,0.06,0.00,-6.00,98.87,-13.68,OK
26357,0,3,0,0,176.62,1.62,-12.75,0.29,-9.48,0.45,0.12,0.12,0.00,-7.50,98.87,-13.68,OK
26572,0,3,0,0,176.62,1.62,-12.75,0.28,-9.50,0.46,0.00,0.00,0.00,-8.25,103.68,-13.68,OK
26787,0,3,0,0,176.62,1.62,-12.75,0.30,-9.49,0.46,0.12,0.00,0.00,-9.37,98.06,-15.68,OK
27000,0,3,0,0,176.62,1.62,-12.75,0.30,-9.48,0.44,0.00,0.00,0.00,-6.00,98.06,-15.68,OK
27213,0,3,0,0,176.62,1.62,-12.75,0.30,-9.49,0.45,0.00,0.00,0.00,-4.50,98.06,-15.68,OK
27427,0,3,0,0,176.62,1.62,-12.75,0.28,-9.50,0.47,0.00,0.06,0.00,-8.56,103.68,-15.68,OK
27642,0,3,0,0,176.62,1.62,-12.75,0.29,-9.48,0.44,0.12,0.06,0.00,-6.00,103.68,-15.68,OK
27855,0,3,0,0,176.62,1.62,-12.75,0.28,-9.49,0.44,0.00,0.06,0.00,-4.87,103.68,-15.68,OK
28068,0,3,0,0,192.06,0.06,0.06,6.15,-9.49,0.44,-12.56,0.06,0.00,-7.68,103.68,-15.68,OK
28281,0,3,0,0,347.43,-8.75,-7.00,6.94,-9.49,0.44,290.62,0.06,0.00,123.68,103.68,-15.68,OK
28496,0,3,0,1,344.25,2.68,0.06,0.36,0.23,0.44,-13.50,0.06,0.00,112.37,-14.06,-15.68,OK
28709,0,3,0,1,343.31,6.56,0.06,1.30,0.56,0.44,57.31,0.81,-10.06,112.50,-15.56,-15.68,OK
28922,0,3,0,1,342.31,5.06,1.56,1.00,-1.56,9.18,-26.06,-7.31,-10.06,112.87,-15.56,-15.68,OK
29135,0,3,0,1,338.25,3.31,0.06,-2.52,-1.56,9.18,-5.68,-7.31,-10.06,113.06,-14.87,-15.68,OK
29348,0,3,0,1,337.62,4.31,-8.31,1.66,-1.56,9.18,-35.06,-15.62,-10.06,109.25,-12.18,-15.68,OK
29561,0,3,0,1,336.93,3.37,0.06,0.35,-1.58,9.59,7.81,6.00,-10.06,107.50,-75.37,-4.25,OK
29774,0,3,0,1,337.37,3.06,0.06,0.26,-1.58,9.59,-3.06,4.12,3.31,105.56,-12.18,-4.25,OK
